seed,p_open,alpha,cost_root_action,regret_root_action,root_action_disagree,behavior_disagree,behavior_disagreement_world_fraction,behavior_disagreement_prior_mass,cost_mean_cost,cost_mean_regret,cost_cvar95_regret,cost_worst_regret,cost_worst_cost,regret_mean_cost,regret_mean_regret,regret_cvar95_regret,regret_worst_regret,regret_worst_cost,delta_mean_cost_regret_minus_cost,delta_mean_regret_regret_minus_cost,delta_cvar95_regret_regret_minus_cost,delta_worst_regret_regret_minus_cost,delta_worst_cost_regret_minus_cost
1,0.1,0.25,g,g,0,0,0.0,0.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.5,g,g,0,0,0.0,0.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.75,g,g,0,0,0.0,0.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.9,g,g,0,0,0.0,0.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,30.000000000000004,14.138451678438726,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.25,u2,u1,1,1,1.0,1.0,18.958530441715514,12.54096657174824,31.514435454248062,31.514435454248062,34.753504751720634,18.912891864623784,12.495327994656511,31.514435454248062,31.514435454248062,34.753504751720634,-0.04563857709172936,-0.04563857709172936,0.0,0.0,0.0
1,0.3,0.5,g,g,0,0,0.0,0.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.75,g,g,0,0,0.0,0.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.9,g,g,0,0,0.0,0.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,30.0,23.58243613003273,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.25,u1,u0,1,1,1.0,1.0000000000000002,12.138049788002379,7.722618623836316,31.514435454248062,31.514435454248062,34.753504751720634,11.856258549323012,7.4408273851569495,28.556563849065576,28.556563849065576,34.31185182791293,-0.2817912386793662,-0.2817912386793662,-2.9578716051824863,-2.9578716051824863,-0.4416529238077018
1,0.5,0.5,g,u1,1,1,1.0,1.0000000000000002,30.000000000000004,25.58456883583394,26.76093070252743,26.76093070252743,30.0,12.257773519190449,7.842342355024386,28.556563849065576,28.556563849065576,34.31185182791293,-17.742226480809556,-17.742226480809556,1.7956331465381474,1.7956331465381474,4.311851827912932
1,0.5,0.75,g,g,0,0,0.0,0.0,30.000000000000004,25.58456883583394,26.76093070252743,26.76093070252743,30.0,30.000000000000004,25.58456883583394,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.9,g,g,0,0,0.0,0.0,30.000000000000004,25.58456883583394,26.76093070252743,26.76093070252743,30.0,30.000000000000004,25.58456883583394,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.7,0.25,u0,u0,0,0,0.0,0.0,6.754474411727776,2.956189337192704,28.556563849065576,28.556563849065576,34.31185182791293,6.754474411727776,2.956189337192704,28.556563849065576,28.556563849065576,34.31185182791293,0.0,0.0,0.0,0.0,0.0
